GRB,Swift Trigger Number,BAT RA (J2000),BAT Dec (J2000),BAT T90,BAT Fluence (15-150 keV),BAT Photon Index (15-150 keV) (PL = simple power-law),Swift Comments,Redshift,Host Galaxy
050713A,145675,320.585,77.072,124.7,51.1,1.53,-,-,-
050712A,145581,77.722,64.924,51.6,10.8,1.5,UVOT: No B observations were taken because of a bright source in the field of view violating the UVOT count rate limits,-,-
050701A,143708,227.241,-59.399,21.8,13.6,1.7,No AT slew (near catalog source),-,-
050607A,132247,300.18,9.139,26.4,5.92,1.92,-,-,-
050603A,131560,39.982,-25.175,12.4,63.6,1.16,No AT slew (engineering tests in progress),-,-
050528A,130679,353.524,45.957,11.3,4.48,2.27,"XRT: 3 faint sources, not sure of fading|XRT in engineering mode at time of GRB, delayed observations",-,-
050525A,130088,278.142,26.335,8.8,153.0,-,-,0.606,-
050509A,118707,310.573,54.076,11.4,3.41,2.11,UVOT: observations were interrupted by GRB050509B,-,-
050507A,118248,48.063,-11.064,15.0,1.67,1.53,No AT slew (too near sun)|BAT:BAT data truncated,-,-
050505A,117504,141.76,30.266,58.9,24.9,1.41,-,4.27,-
050502B,116116,142.535,16.987,17.7,4.78,1.59,XRT: Large flare @ 600 s|UVOT: no detection,-,-
050422A,115214,324.507,55.788,59.3,6.07,1.41,-,-,-
050421A,115135,307.341,73.678,15.0,1.45,1.56,"BAT: weak GRB, FRED lightcurve",-,-
050418A,114893,44.334,-18.541,82.3,52.1,1.71,BAT: bright GRB|No AT slew (too near sun),-,-
050412A,114485,181.099,-1.193,26.5,6.18,0.74,BAT: long and bright|UVOT: no detection,-,"R=22.4, I=21.6, V=23.4"
050410A,114298|114299,89.757,79.605,42.5,41.5,-,BAT: smooth rounded|AT slew delayed by Earth limb constraint,-,-
050406A,113872,34.41,-50.18,5.4,0.68,2.43,"BAT: faint XRF, Epeak~30 keV|XRT: faint afterglow",2.44,-
050401A,113120,247.873,2.185,33.3,82.2,1.4,BAT: bright multipeaked|UVOT: not enabled,2.9,-
050326A,112453,6.871,-71.377,29.3,88.6,1.25,BAT: bright|UVOT: no detection,-,Host candidates (VLT)
050319A,111622,154.172,43.581,152.5,13.1,2.02,-,3.24,-
050318A,111529,49.695,-46.386,32.0,10.8,1.9,-,1.44,-
050315A,111063,306.476,-42.591,95.6,32.2,2.11,BAT: 2 FRED-like peaks|UVOT: no detection,1.949,R=23.9
050306A,107547,282.309,-9.152,158.3,115.0,1.48,BAT: moderately bright and long|No AT slew (too near moon)|TOO at 35 hours,-,-
050223A,106709,271.394,-62.465,22.5,6.36,1.85,"BAT: slow rise and fall, several small peaks|UVOT: no detection|No AT slew (too near Earth)",0.5915,"R = 21.6, Ks = 18.9 (VLT)"
050219B,106442,81.306,-57.758,30.7,158.0,-,"BAT: bright spikey, 5 peaks|UVOT: no detection",-,-
050219A,106415,166.416,-40.681,23.7,41.1,-,BAT: one large spike|UVOT: no detection,-,-
050215B,106107,174.463,40.797,8.1,2.27,1.99,BAT: faint XRF with Epeak < 30 keV|No prompt XRT data due to SAA,-,-
050215A,106106,348.403,49.328,87.3,7.08,1.46,BAT: faint|XRT: no data due to centroiding testing|UVOT: no detection,-,-
050128A,103906,219.587,-34.765,19.2,50.2,-,BAT: spikey|TOO at 12 hours|UVOT: no detection,-,-
050126A,103780,278.115,42.384,24.8,8.38,1.34,BAT: spikey|UVOT: No observation (bright star within 4 deg),1.29,-
050117A,102861,358.479,65.939,166.6,88.1,-,BAT: long multi-peaked|First AT slew|XRT:  SAA complications|UVOT: no observation,-,-
041228A,100970,336.642,5.032,55.4,34.9,1.6,BAT: multi peaks|No AT slew|XRT: no observation|UVOT: no observation,-,-
041226A,100815,79.689,73.329,89.7,3.21,1.4,BAT: weak spike|No AT slew|XRT: no observation|UVOT: no observation,-,-
041224A,100703,56.192,-6.663,177.2,87.3,-,BAT: multi peaks|No AT slew|XRT: no observation|UVOT: no observation,-,-
041223A,100585,100.204,-37.068,109.1,167.0,1.11,TOO at 4.5 hours|UVOT:  no observation,-,-
041220A,100433,291.288,60.598,5.6,3.83,1.66,BAT: FRED|No AT slew|XRT: no observation|UVOT: no observation,-,-
041219B,100367*,167.674,-33.458,30.0,-,-,"BAT: 1 big spike, 3 little spikes|No AT slew|XRT: no observation|UVOT: no observation",-,-
041219A,100307|100319,6.154,62.847,520.0,1550.0,-,"BAT: bright, long, multipeaked|No AT slew|XRT: no observation|UVOT: no observation",-,-
041217A,100116*,164.793,-17.942,5.8,27.7,-,BAT: first GRB image|No AT slew|XRT: no observation|UVOT: no observation,-,-
